,vh,vv,vv_by_vh
0,"[0.13655978441238403, 0.18420342355966568, 0.15770114958286285, 0.1888980269432068, 0.03852582350373268, 0.037825070321559906, 0.059374673292040825, 0.06931382045149803, 0.09447266906499863, 0.08920063450932503, 0.09470861032605171, 0.1295873261988163, 0.07174909487366676, 0.09152282029390335, 0.07299812138080597, 0.09633471071720123, 0.2881366163492203, 0.19180648773908615]","[0.0431892704218626, 0.03289414569735527, 0.026625915430486202, 0.017515945248305798, 0.018731978721916676, 0.028672526590526104, 0.03569426387548447, 0.0333352405577898, 0.032396938651800156, 0.02245788462460041, 0.02956197038292885, 0.05324292927980423, 0.016515318304300308, 0.012197027914226055, 0.008471195586025715, 0.007153650280088186, 0.035283470526337624, 0.031931862235069275]","[3.1618914392046977, 5.599884710624233, 5.922844230260637, 10.784346734668953, 2.0566873407055994, 1.319209529796302, 1.6634233864343828, 2.079295643039862, 2.9160986499491117, 3.9719072388329253, 3.203731317610111, 2.433887991357578, 4.344396732273971, 7.503698518813367, 8.61721591002165, 13.466511074121682, 8.166334321736816, 6.00674293052768]"
1,"[0.28950951993465424, 0.24810734391212463, 0.16083019226789474, 0.12015662342309952, 0.04870544373989105, 0.13093208521604538, 0.04050925187766552, 0.09966350346803665, 0.11028169095516205, 0.12521042302250862, 0.05817899666726589, 0.0803120881319046, 0.1921740099787712, 0.28907647728919983, 0.28632786870002747, 0.070042684674263, 0.015141182113438845, 0.014002718031406403]","[0.04130662605166435, 0.03002742398530245, 0.02817356213927269, 0.033515118062496185, 0.025127636268734932, 0.03978406824171543, 0.016795631498098373, 0.028543470427393913, 0.03419141843914986, 0.03187604621052742, 0.019364873878657818, 0.0348300039768219, 0.08118480071425438, 0.03988136723637581, 0.03473523072898388, 0.009510999079793692, 0.0041042775847017765, 0.006747914478182793]","[7.008791266867199, 8.262691599304889, 5.708550146156514, 3.5851469536536174, 1.9383217433982365, 3.291068284433442, 2.4118921567344485, 3.491639312800135, 3.2254201782072696, 3.928041206727718, 3.004357117522228, 2.3058305759984803, 2.367118084765212, 7.248409403214569, 8.24315436203822, 7.364387703818633, 3.6891223366265145, 2.075117886671457]"
2,"[0.13236010819673538, 0.22516700625419617, 0.16931074857711792, 0.27050697803497314, 0.23438072949647903, 0.2783680260181427, 0.034316446632146835, 0.0727841928601265, 0.06972770392894745, 0.08066435903310776, 0.086929801851511, 0.1528972014784813, 0.24398104846477509, 0.16025064885616302, 0.3005771040916443, 0.06216020509600639, 0.021879189647734165, 0.025084201246500015]","[0.007671446772292256, 0.009247372392565012, 0.022411289624869823, 0.0307903615757823, 0.021526970900595188, 0.019454647786915302, 0.021024740301072598, 0.037529464811086655, 0.020928630605340004, 0.03133953642100096, 0.03171285055577755, 0.02384550217539072, 0.0669773519039154, 0.04857258312404156, 0.09214098006486893, 0.007533686468377709, 0.005614305846393108, 0.008280153386294842]","[17.253604453698856, 24.349295853515414, 7.554707980268733, 8.785443372244657, 10.887771000331439, 14.308561587291543, 1.632193603380497, 1.9393879775931462, 3.33168974329148, 2.5738848829637986, 2.741153832848175, 6.411993354297056, 3.6427395459704983, 3.2991996420475553, 3.2621435530643645, 8.250967883641149, 3.897042705963441, 3.029436784108242]"
3,"[0.011524905916303396, 0.08745602145791054, 0.014246856328099966, 0.014856259804219007, 0.02000075113028288, 0.019784661009907722, 0.01652365457266569, 0.008006730116903782, 0.011811623815447092, 0.01636816095560789, 0.009120923932641745, 0.017951233312487602, 0.009157392662018538, 0.01741127297282219, 0.016123319510370493, 0.020728163421154022, 0.02024846524000168, 0.008429101668298244]","[0.0036132707027718425, 0.021093417890369892, 0.00319431081879884, 0.004555723164230585, 0.004564405186101794, 0.004900971427559853, 0.003430329146794975, 0.005036383168771863, 0.003443692927248776, 0.0042457180097699165, 0.003407451556995511, 0.004838513443246484, 0.004559254972264171, 0.005365291610360146, 0.004489488899707794, 0.003843841375783086, 0.0029421456856653094, 0.00479486770927906]","[3.189604893832702, 4.1461285180263845, 4.46007202688473, 3.261010221354852, 4.38189650453982, 4.036885605709054, 4.81692976550197, 1.5897777926329317, 3.4299294579913653, 3.8552162244272346, 2.6767582106681616, 3.710072013449427, 2.008528305112729, 3.2451680611733713, 3.591348563401038, 5.3925647275002815, 6.882210265336632, 1.757942487544795]"
4,"[0.08896590024232864, 0.14934808015823364, 0.03457469493150711, 0.02976110950112343, 0.04513739421963692, 0.03804139420390129, 0.09875577688217163, 0.08913684636354446, 0.05159987136721611, 0.05777999013662338, 0.08216472715139389, 0.042918454855680466, 0.04277922213077545, 0.29569143056869507, 0.2620537281036377, 0.17536932229995728, 0.13499563932418823, 0.16130965948104858]","[0.018615931272506714, 0.03371100500226021, 0.018325716257095337, 0.019748277962207794, 0.015599471516907215, 0.01695418730378151, 0.025823405012488365, 0.02723047509789467, 0.02263561263680458, 0.02810118906199932, 0.01670842431485653, 0.008484438993036747, 0.008529337123036385, 0.04352272301912308, 0.04996109753847122, 0.016909705474972725, 0.023979661986231804, 0.024256959557533264]","[4.779019590264581, 4.430247040935753, 1.8866763212117565, 1.507023020340161, 2.8935207305398483, 2.243775742374654, 3.824274019418148, 3.2734223711886723, 2.279588018895359, 2.056140400647961, 4.917562877448352, 5.05849059565447, 5.01553889987952, 6.793955204474999, 5.245155551313703, 10.370927072592323, 5.62958891587786, 6.650036213254604]"
5,"[0.009943928569555283, 0.01345168799161911, 0.012312877457588911, 0.010034646838903427, 0.015565579757094383, 0.015404888894408941, 0.008048907620832324, 0.007693670690059662, 0.014789287466555834, 0.013147348538041115, 0.01843548472970724, 0.01798944268375635, 0.00877966033294797, 0.016585486941039562, 0.020212882198393345, 0.01623534969985485, 0.03974262624979019, 0.013893154915422201]","[0.0040923303458839655, 0.003978873253799975, 0.005572434281930327, 0.00438202521763742, 0.0044857056345790625, 0.0042268147226423025, 0.004359763581305742, 0.004500977462157607, 0.00450794817879796, 0.0043799919076263905, 0.005349694984033704, 0.004256613785400987, 0.004114816430956125, 0.0034363892627879977, 0.0040127921383827925, 0.004120297962799668, 0.013606848195195198, 0.004464244702830911]","[2.4298939061839935, 3.380778208698213, 2.2096047857425156, 2.2899564335035096, 3.470040396120432, 3.6445621360897755, 1.8461798376740624, 1.7093333069860768, 3.2807137260613723, 3.0016832942428744, 3.446081465341183, 4.226233243301327, 2.1336699899654854, 4.826428461013026, 5.037111692144463, 3.940333890033337, 2.9207811889768833, 3.112095290522972]"
6,"[0.3511092960834503, 0.20756801962852478, 0.41839903593063354, 0.290830135345459, 0.2287849336862564, 0.29774029552936554, 0.3302314877510071, 0.3576752692461014, 0.299251988530159, 0.27927055954933167, 0.2776443809270859, 0.3975747376680374, 0.23669175803661346, 0.3065944164991379, 0.21757713705301285, 0.2805868983268738, 0.2915000915527344, 0.3490733951330185]","[0.049791039898991585, 0.06085546687245369, 0.06977968662977219, 0.08558714389801025, 0.06057779863476753, 0.06584947369992733, 0.05266397073864937, 0.08391514420509338, 0.05379185639321804, 0.07435351237654686, 0.06755724921822548, 0.08515874296426773, 0.06654491275548935, 0.044292107224464417, 0.10963420942425728, 0.05706372857093811, 0.05968980863690376, 0.08008478581905365]","[7.051656217579045, 3.4108360398181534, 5.996000500124337, 3.398058658109051, 3.776712571971036, 4.52152885664892, 6.270539101387103, 4.262344689200828, 5.563146702776519, 3.7559834179053695, 4.109764446302877, 4.668630886612056, 3.5568723172920316, 6.922100475946485, 1.9845734118539875, 4.917079646803406, 4.883582276598418, 4.358797886052003]"
7,"[0.2054440677165985, 0.3414810299873352, 0.14915208518505096, 0.15518691390752792, 0.16795577853918076, 0.22671587020158768, 0.09109750390052795, 0.16776612401008606, 0.0344952717423439, 0.03791606426239014, 0.07132503017783165, 0.060189880430698395, 0.23296739906072617, 0.14846377819776535, 0.3133436143398285, 0.023254730738699436, 0.07333092018961906, 0.07784538716077805]","[0.017207592725753784, 0.01352130901068449, 0.045196978375315666, 0.05081970989704132, 0.020384655334055424, 0.018546479754149914, 0.021161912940442562, 0.03264641761779785, 0.01674373634159565, 0.022885105572640896, 0.024473425932228565, 0.023912028409540653, 0.055196547880768776, 0.035029634833335876, 0.09868314489722252, 0.005537665449082851, 0.011548648588359356, 0.01096135238185525]","[11.939152151661526, 25.25502743244002, 3.3000455018583805, 3.0536757140473716, 8.239323931986581, 12.22419958972852, 4.304785874363531, 5.138883107303785, 2.0601896159012596, 1.6568009329054059, 2.9143868282006706, 2.517138211774759, 4.220687851058439, 4.238233681399388, 3.1752495795120095, 4.199374439015792, 6.34974037252585, 7.101805000780609]"
8,"[0.009833450429141521, 0.09051929414272308, 0.015784721821546555, 0.012569223064929247, 0.020707115530967712, 0.015550302807241678, 0.012745711952447891, 0.00860903225839138, 0.01227580988779664, 0.0176995312795043, 0.008705263491719961, 0.02385221514850855, 0.011639941018074751, 0.01326022669672966, 0.015958990901708603, 0.02136959880590439, 0.01919279806315899, 0.009934797883033752]","[0.0031740933191031218, 0.022626839578151703, 0.0031093191355466843, 0.004359246930107474, 0.004517188062891364, 0.004632015246897936, 0.003259112359955907, 0.0035927389981225133, 0.0038188103353604674, 0.003428924363106489, 0.003570280969142914, 0.004423482110723853, 0.005419392604380846, 0.0038770842365920544, 0.00463096285238862, 0.004825577372685075, 0.0036604920169338584, 0.0035551944747567177]","[3.09803444339818, 4.000527507612145, 5.076584658387363, 2.883347345643336, 4.584072047182709, 3.357135496834931, 3.910792432029048, 2.3962309154353467, 3.214563911207676, 5.161831934802179, 2.4382572595707384, 5.392180764263428, 2.1478312917697515, 3.420154396331961, 3.446149625984812, 4.428402480263993, 5.243229045267928, 2.7944456916702403]"
9,"[0.04340285807847977, 0.03615575656294823, 0.02375633269548416, 0.0150387492030859, 0.1281779557466507, 0.061098139733076096, 0.09252806752920151, 0.15663596987724304, 0.12436877191066742, 0.1395651400089264, 0.07079759240150452, 0.10680731385946274, 0.05161047354340553, 0.07212111353874207, 0.07131952047348022, 0.06909320503473282, 0.3355805277824402, 0.28744301199913025]","[0.00995133351534605, 0.006821437738835812, 0.003209108719602227, 0.0072867306880652905, 0.0058829751797020435, 0.010400870814919472, 0.03079204447567463, 0.051802199333906174, 0.0323164276778698, 0.03222578391432762, 0.022789407521486282, 0.03064165823161602, 0.024727383628487587, 0.0323900431394577, 0.03689968213438988, 0.04678192362189293, 0.02996307983994484, 0.05106513947248459]","[4.361511752324228, 5.300313210674967, 7.4027821339841635, 2.063854127025361, 21.78794773584997, 5.874329257645831, 3.004934199880675, 3.023732040170732, 3.848469055750083, 4.3308532192719005, 3.1066008335124646, 3.4856897447299082, 2.0871789073530143, 2.2266445656839458, 1.9327949821825603, 1.4769209918165633, 11.199800874109942, 5.628947947043463]"
